listing_id,listing_url,reviewer_id,date,reviewer_name,review_id,infor_under_name,rating,response
734217966968048115,https://www.airbnb.com/rooms/734217966968048115,16968652,April 2023,Ami,876833255112079534,"Hove, United Kingdom",4,
734217966968048115,https://www.airbnb.com/rooms/734217966968048115,78542438,December 2023,Marion,1039152056180500670,"Lyon, France",5,
734217966968048115,https://www.airbnb.com/rooms/734217966968048115,228930396,May 2023,Abigail,902173959435404781,"Adelaide, Australia",5,
734217966968048115,https://www.airbnb.com/rooms/734217966968048115,544650085,December 2023,Chinenye,1043513095274940717,3 months on Airbnb,5,
734217966968048115,https://www.airbnb.com/rooms/734217966968048115,17126699,February 2023,Molly,820367183370673974,"Portland, Oregon",5,
734217966968048115,https://www.airbnb.com/rooms/734217966968048115,46946002,February 2023,Sophie,836223841900322484,"Berlin, Germany",5,
734217966968048115,https://www.airbnb.com/rooms/734217966968048115,18809982,July 2023,Johanna,943521657887245557,"Basel, Switzerland",5,
734217966968048115,https://www.airbnb.com/rooms/734217966968048115,145167667,August 2023,Nicole,968089790444020030,"Montreal, Canada",5,
734217966968048115,https://www.airbnb.com/rooms/734217966968048115,67163826,September 2023,Jess,977544171079635293,"Rozelle, Australia",5,
734217966968048115,https://www.airbnb.com/rooms/734217966968048115,72284506,January 2023,Sonia,816654488819001563,"Augusta, Georgia",5,
734217966968048115,https://www.airbnb.com/rooms/734217966968048115,405338443,July 2023,Maiqi,933304117860519355,"Kentucky, United States",4,
734217966968048115,https://www.airbnb.com/rooms/734217966968048115,31026132,November 2022,Cécile,769534096351941210,"London, United Kingdom",5,
734217966968048115,https://www.airbnb.com/rooms/734217966968048115,165636464,November 2023,Abeeda,1025453228705884047,"Tucker, Georgia",5,
734217966968048115,https://www.airbnb.com/rooms/734217966968048115,74430200,June 2023,Jonne,922442120067226027,"Gothenburg, Sweden",5,
734217966968048115,https://www.airbnb.com/rooms/734217966968048115,340119468,August 2023,Julie,958050092085984822,4 years on Airbnb,5,
734217966968048115,https://www.airbnb.com/rooms/734217966968048115,19341836,3 weeks ago,Kate,1081258726075271092,"Toronto, Canada",5,
734217966968048115,https://www.airbnb.com/rooms/734217966968048115,114329185,December 2022,Vanessa,780443596043245129,"Dallas, Texas",5,
734217966968048115,https://www.airbnb.com/rooms/734217966968048115,348495770,November 2023,Kiasha,1034194193586458881,"New Brunswick, New Jersey",5,
734217966968048115,https://www.airbnb.com/rooms/734217966968048115,262336,November 2022,Annie,755147749269930910,"Paris, France",5,
734217966968048115,https://www.airbnb.com/rooms/734217966968048115,112591977,November 2023,Michelle,1029807985444716571,"Boston, Massachusetts",5,
734217966968048115,https://www.airbnb.com/rooms/734217966968048115,296915572,April 2023,Eliana,872501151135140008,"Sydney, Australia",5,
734217966968048115,https://www.airbnb.com/rooms/734217966968048115,482068027,December 2022,Joanna,784847040117916241,"Leipzig, Germany",5,
734217966968048115,https://www.airbnb.com/rooms/734217966968048115,202812681,December 2022,Madison,778230478234635854,United States,5,
734217966968048115,https://www.airbnb.com/rooms/734217966968048115,435937075,December 2022,Sophie,774656393152561484,France,5,
734217966968048115,https://www.airbnb.com/rooms/734217966968048115,26676000,April 2023,Sharine,865956493701319893,"Toronto, Canada",5,
734217966968048115,https://www.airbnb.com/rooms/734217966968048115,549904194,1 week ago,Riina,1095727329950353841,Finland,5,
734217966968048115,https://www.airbnb.com/rooms/734217966968048115,369642651,January 2024,Natalie,1064594429181547049,"Austin, Texas",5,
734217966968048115,https://www.airbnb.com/rooms/734217966968048115,174474083,July 2023,Sadie,939191475350245500,"Boston, Massachusetts",5,
734217966968048115,https://www.airbnb.com/rooms/734217966968048115,428683446,August 2023,Runyu,948537498154744996,"Atlanta, Georgia",5,
734217966968048115,https://www.airbnb.com/rooms/734217966968048115,2670669,December 2023,Erin,1053645399001736561,"Paris, France",5,
734217966968048115,https://www.airbnb.com/rooms/734217966968048115,55158492,June 2023,Aase,908042263971481682,"Lillesand, Norway",5,
734217966968048115,https://www.airbnb.com/rooms/734217966968048115,51337273,March 2023,Stephanie,842043094532911519,"Durham, North Carolina",5,
734217966968048115,https://www.airbnb.com/rooms/734217966968048115,155074104,December 2022,Chiara,791324753948720011,"Aubignan, France",5,
734217966968048115,https://www.airbnb.com/rooms/734217966968048115,308842873,October 2023,Zuri,998617437789093095,"San Jose, California",5,
734217966968048115,https://www.airbnb.com/rooms/734217966968048115,23338873,April 2023,Erika,881175231175263896,"Chicago, Illinois",5,
734217966968048115,https://www.airbnb.com/rooms/734217966968048115,229914483,February 2023,Jasmine,825369656247119870,"Richmond Heights, Ohio",5,
734217966968048115,https://www.airbnb.com/rooms/734217966968048115,369096972,September 2023,Anna,971767738112478391,United Kingdom,5,
734218369429025853,https://www.airbnb.com/rooms/734218369429025853,517398660,June 2023,Asad,906524865184864243,8 months on Airbnb,5,
734218369429025853,https://www.airbnb.com/rooms/734218369429025853,473271852,April 2023,Tahir,870305689427486857,2 years on Airbnb,5,
734218369429025853,https://www.airbnb.com/rooms/734218369429025853,484111323,October 2022,Odile,744891786120469101,1 year on Airbnb,4,
734218369429025853,https://www.airbnb.com/rooms/734218369429025853,507816204,April 2023,Molly,860896803227622536,10 months on Airbnb,5,
734218369429025853,https://www.airbnb.com/rooms/734218369429025853,240496932,January 2023,Gabriel,794936239958520335,"Caguas, Puerto Rico",5,
734218369429025853,https://www.airbnb.com/rooms/734218369429025853,505626366,March 2023,Shanti,854300181774912335,11 months on Airbnb,5,
734218369429025853,https://www.airbnb.com/rooms/734218369429025853,483281280,July 2023,Amber,942028595082360086,1 year on Airbnb,5,
734218369429025853,https://www.airbnb.com/rooms/734218369429025853,372081313,January 2023,Michelle,805059433730135683,3 years on Airbnb,5,
734218369429025853,https://www.airbnb.com/rooms/734218369429025853,159309219,December 2022,Eric,776166028216466970,"Elmwood Park, New Jersey",5,
734218369429025853,https://www.airbnb.com/rooms/734218369429025853,30444781,December 2022,Andres,779754640588451787,"New York, New York",5,
734218369429025853,https://www.airbnb.com/rooms/734218369429025853,210615564,December 2022,Robert,773955721920729143,"New York, United States",5,
734218369429025853,https://www.airbnb.com/rooms/734218369429025853,163509293,February 2023,Farhan,830457188587564095,"Beverly Hills, California",5,
734218369429025853,https://www.airbnb.com/rooms/734218369429025853,250563930,December 2022,Laura,773168182160090805,"Rochester, New York",5,
734218369429025853,https://www.airbnb.com/rooms/734218369429025853,4209987,October 2022,Quentin,747812597396085109,"Saint-Gilles, Belgium",5,
734218369429025853,https://www.airbnb.com/rooms/734218369429025853,388076468,October 2022,DeAndre,749997943869442013,3 years on Airbnb,5,
734218369429025853,https://www.airbnb.com/rooms/734218369429025853,418215085,October 2022,Petergay,737627971260029044,3 years on Airbnb,5,
734218369429025853,https://www.airbnb.com/rooms/734218369429025853,482379428,October 2022,Adrian,741330449756907117,Poland,5,
734218369429025853,https://www.airbnb.com/rooms/734218369429025853,54734290,June 2023,Audrey,915934226892753177,"Amsterdam, Netherlands",5,
734218369429025853,https://www.airbnb.com/rooms/734218369429025853,39543399,March 2023,Michael,842062503448987094,"New York, United States",5,
734218369429025853,https://www.airbnb.com/rooms/734218369429025853,503386321,July 2023,Kimberly,926094754375722201,11 months on Airbnb,5,
734218369429025853,https://www.airbnb.com/rooms/734218369429025853,341040659,July 2023,Desiree,927557459296353046,"New York, United States",5,
734218369429025853,https://www.airbnb.com/rooms/734218369429025853,262330387,April 2023,Lex,860148762528780283,"New York, United States",5,
734218369429025853,https://www.airbnb.com/rooms/734218369429025853,401235417,March 2023,Aziz,845700078464854239,3 years on Airbnb,5,
734218369429025853,https://www.airbnb.com/rooms/734218369429025853,502467098,March 2023,Tyler,850773901086649400,1 year on Airbnb,5,
734218369429025853,https://www.airbnb.com/rooms/734218369429025853,448826286,June 2023,Ibrahim,904400819979026454,2 years on Airbnb,5,
734218369429025853,https://www.airbnb.com/rooms/734218369429025853,444071977,April 2023,Chadon,865976037868911016,2 years on Airbnb,5,
734218369429025853,https://www.airbnb.com/rooms/734218369429025853,6521254,October 2022,Janu,748577213112933408,"New York, New York",5,
734218369429025853,https://www.airbnb.com/rooms/734218369429025853,51466895,April 2023,Jazmin,871049712821900362,"New York, United States",5,
734218369429025853,https://www.airbnb.com/rooms/734218369429025853,448826286,November 2022,Ibrahim,750685930866555903,2 years on Airbnb,5,
734218369429025853,https://www.airbnb.com/rooms/734218369429025853,331459613,May 2023,Natasha,890642449813502930,"Atlantic City, New Jersey",5,
734218369429025853,https://www.airbnb.com/rooms/734218369429025853,368712844,December 2022,Nashell,790669746238381971,"Montrose, Pennsylvania",5,
734218369429025853,https://www.airbnb.com/rooms/734218369429025853,497661749,March 2023,Chacha,855835652627974706,1 year on Airbnb,5,
